Plate Number,Time,Gate,Direction,Image Path
AA777,2026-04-09 07:45:14,Main Gate,Entry,crops/AA777_6.jpg
7777,2026-04-09 07:45:17,Main Gate,Entry,crops/7777_6.jpg
CO,2026-04-09 07:46:56,Main Gate,Entry,crops/CO_0.jpg
EQ,2026-04-09 07:47:06,Main Gate,Entry,crops/EQ_13.jpg
HR98A7778,2026-04-09 07:50:25,Main Gate,Entry,crops/HR98A7778_6.jpg
NB06F5977,2026-04-09 07:53:20,Main Gate,Entry,crops/NB06F5977_28.jpg
NB06F5077,2026-04-09 08:44:44,Main Gate,Entry,crops/NB06F5077_13.jpg
MB06F5971,2026-04-09 08:45:14,Main Gate,Entry,crops/MB06F5971_39.jpg
MB06F5977,2026-04-09 08:45:15,Main Gate,Entry,crops/MB06F5977_39.jpg
HR88E3328,2026-04-09 08:47:55,Main Gate,Entry,crops/HR88E3328_71.jpg
HR88E3338,2026-04-09 08:47:56,Main Gate,Entry,crops/HR88E3338_70.jpg
UU4,2026-04-20 15:12:31,Main Gate,Entry,crops/UU4_4.jpg
RJLCV0002M,2026-04-20 15:12:37,Main Gate,Entry,crops/RJLCV0002M_0.jpg
OG,2026-04-20 15:14:14,Main Gate,Entry,crops/OG_12.jpg
~8106ALL97,2026-04-20 15:15:03,Main Gate,Entry,crops/~8106ALL97_15.jpg
AA4ER4547,2026-04-20 15:15:05,Main Gate,Entry,crops/AA4ER4547_16.jpg
PBTOGNLL9Z,2026-04-20 15:15:08,Main Gate,Entry,crops/PBTOGNLL9Z_15.jpg
37PB106ALL97,2026-04-20 15:54:04,Main Gate,Entry,crops/37PB106ALL97_5.jpg
PB106NLL97,2026-04-20 15:54:07,Main Gate,Entry,crops/PB106NLL97_6.jpg
~^7777,2026-04-20 16:00:54,Main Gate,Entry,crops/~^7777_5.jpg
HR,2026-04-20 16:01:34,Main Gate,Entry,crops/HR_8.jpg
HR984'1777,2026-04-20 16:01:41,Main Gate,Entry,crops/HR984'1777_11.jpg
HR4,2026-04-20 16:01:42,Main Gate,Entry,crops/HR4_11.jpg
488FL^,2026-04-20 16:29:30,Main Gate,Entry,crops/488FL^_2.jpg
TABBF4089,2026-04-20 16:29:30,Main Gate,Entry,crops/TABBF4089_2.jpg
RJZP,2026-04-20 16:29:31,Main Gate,Entry,crops/RJZP_4.jpg
RJZOPDONA,2026-04-20 16:29:33,Main Gate,Entry,crops/RJZOPDONA_4.jpg
42)LAAWAC,2026-04-20 16:29:33,Main Gate,Entry,crops/42)LAAWAC_7.jpg
TNBBFL089,2026-04-20 16:29:34,Main Gate,Entry,crops/TNBBFL089_2.jpg
ABQICIZ,2026-04-20 16:29:34,Main Gate,Entry,crops/ABQICIZ_7.jpg
