epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,510.817,1.33839,0.99388,1.3419,0.9105,0.85416,0.92252,0.511,1.49924,0.92105,1.43992,0.000666415,0.000666415,0.000666415
2,1382.05,1.31665,0.80671,1.32617,0.94334,0.8902,0.94207,0.58752,1.35919,0.68057,1.32107,0.00128909,0.00128909,0.00128909
3,18204.5,1.27943,0.7585,1.30079,0.95276,0.89875,0.94094,0.5812,1.36687,0.64314,1.29893,0.00186776,0.00186776,0.00186776
4,19031.8,1.24955,0.71779,1.27743,0.95459,0.92681,0.96455,0.61594,1.30491,0.58052,1.26973,0.001802,0.001802,0.001802
5,19606.6,1.21486,0.67455,1.25577,0.95966,0.92621,0.95985,0.63001,1.2695,0.57413,1.24467,0.001736,0.001736,0.001736
6,20173.9,1.20055,0.65127,1.24437,0.96521,0.93702,0.96847,0.63925,1.25501,0.5456,1.23261,0.00167,0.00167,0.00167
7,20725.8,1.17943,0.62895,1.22944,0.96633,0.94794,0.97448,0.65672,1.19749,0.51449,1.2017,0.001604,0.001604,0.001604
8,21276.8,1.15996,0.60825,1.22022,0.97117,0.94465,0.97507,0.62375,1.30097,0.52171,1.26464,0.001538,0.001538,0.001538
9,21988.3,1.15118,0.59741,1.20942,0.97131,0.94841,0.97793,0.66446,1.19436,0.49142,1.19724,0.001472,0.001472,0.001472
10,22475.1,1.1356,0.59176,1.20515,0.97735,0.95169,0.97887,0.65823,1.20123,0.48332,1.20509,0.001406,0.001406,0.001406
11,22958.9,1.12401,0.56821,1.19254,0.97535,0.94657,0.97676,0.67089,1.17536,0.4716,1.18639,0.00134,0.00134,0.00134
12,23750.1,1.11605,0.559,1.19341,0.97303,0.94763,0.97802,0.67598,1.16609,0.46341,1.18056,0.001274,0.001274,0.001274
13,29879.2,1.10469,0.54595,1.18244,0.97222,0.95497,0.98088,0.67459,1.16345,0.45269,1.17927,0.001208,0.001208,0.001208
14,30436,1.09913,0.53802,1.17628,0.97461,0.95919,0.98141,0.68052,1.16902,0.4493,1.18084,0.001142,0.001142,0.001142
15,30913.3,1.08246,0.52583,1.17113,0.97702,0.9545,0.98234,0.68692,1.14236,0.44048,1.16564,0.001076,0.001076,0.001076
16,31388.1,1.07732,0.51839,1.16368,0.97327,0.95649,0.9806,0.68699,1.14119,0.43414,1.16284,0.00101,0.00101,0.00101
17,31860.4,1.06726,0.50939,1.15599,0.98111,0.95024,0.98309,0.68829,1.14434,0.42891,1.16963,0.000944,0.000944,0.000944
18,32337,1.05731,0.49934,1.1518,0.97655,0.95727,0.98296,0.68901,1.14115,0.42884,1.16478,0.000878,0.000878,0.000878
19,34711.2,1.04612,0.48985,1.14737,0.97571,0.96092,0.98361,0.69578,1.13731,0.41497,1.1603,0.000812,0.000812,0.000812
20,35249.3,1.03742,0.48057,1.14235,0.98077,0.95709,0.98265,0.69454,1.13297,0.41362,1.1591,0.000746,0.000746,0.000746
21,35814.1,1.02016,0.40542,1.16649,0.98455,0.95666,0.98431,0.69416,1.13025,0.41217,1.15636,0.00068,0.00068,0.00068
22,36365.5,1.00331,0.3966,1.15883,0.98317,0.95882,0.9852,0.70074,1.12174,0.40733,1.15026,0.000614,0.000614,0.000614
23,36915.6,0.99536,0.38995,1.15067,0.97941,0.95957,0.98543,0.70348,1.12389,0.40328,1.15407,0.000548,0.000548,0.000548
24,37463,0.98334,0.38127,1.1433,0.98174,0.95826,0.98481,0.70019,1.11917,0.401,1.14971,0.000482,0.000482,0.000482
25,38007.9,0.96938,0.37326,1.13821,0.97664,0.96072,0.98471,0.70081,1.12253,0.39867,1.15435,0.000416,0.000416,0.000416
26,38551.8,0.96017,0.36823,1.13004,0.982,0.95685,0.98467,0.69977,1.12102,0.3967,1.15151,0.00035,0.00035,0.00035
27,39927.6,0.94471,0.35847,1.11917,0.98595,0.9546,0.98489,0.70179,1.12135,0.3948,1.15344,0.000284,0.000284,0.000284
28,40472.7,0.93977,0.35389,1.11817,0.97964,0.9606,0.98476,0.70086,1.12303,0.39678,1.15499,0.000218,0.000218,0.000218
29,41015.4,0.92665,0.34567,1.11119,0.97945,0.96146,0.98442,0.70153,1.124,0.39659,1.1554,0.000152,0.000152,0.000152
30,41559.5,0.91635,0.34049,1.10497,0.97809,0.96314,0.9835,0.70128,1.12609,0.39732,1.15804,8.6e-05,8.6e-05,8.6e-05
